cor,secao,retranca
s6,Supervisão Técnica de Planejamento Urbano,BEHNMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHNNDM
s6,Supervisão Técnica de Limpeza Pública,BEHNODM
s6,Supervisão Técnica de Manutenção,BEHNPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHNQDM
s6,Coordenadoria de Educação,BEHNRDM
s6,Supervisão Escolar,BEHNSDM
s6,Coordenadoria de Saúde,BEHNTDM
s6,Supervisão de Vigilância em Saúde,BEHNUDM
s6,Coordenadoria de Administração e Finanças,BEHNVDM
s6,Supervisão de Administração,BEHNWDM
s6,Supervisão de Gestão de Pessoas,BEHNXDM
s6,Supervisão de Finanças,BEHNYDM
s6,Supervisão de Suprimentos,BEHNZDM
s5,Jaçanã - Tremembé,
s6,GABINETE DO SUBPREFEITO,BEHOADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHOEDM
s6,Supervisão de Assistência Social,BEHOFDM
s6,Supervisão de Esportes e Lazer,BEHOGDM
s6,Supervisão de Segurança Alimentar,BEHOHDM
s6,Supervisão de Cultura,BEHOIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHOJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHOKDM
s6,Supervisão Técnica de Fiscalização,BEHOLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHOMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHONDM
s6,Supervisão Técnica de Limpeza Pública,BEHOODM
s6,Supervisão Técnica de Manutenção,BEHOPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHOQDM
s6,Coordenadoria de Educação,BEHORDM
s6,Supervisão Escolar,BEHOSDM
s6,Coordenadoria de Saúde,BEHOTDM
s6,Supervisão de Vigilância em Saúde,BEHOUDM
s6,Coordenadoria de Administração e Finanças,BEHOVDM
s6,Supervisão de Administração,BEHOWDM
s6,Supervisão de Gestão de Pessoas,BEHOXDM
s6,Supervisão de Finanças,BEHOYDM
s6,Supervisão de Suprimentos,BEHOZDM
s5,Lapa,
s6,GABINETE DO SUBPREFEITO,BEHPADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHPEDM
s6,Supervisão de Assistência Social,BEHPFDM
s6,Supervisão de Esportes e Lazer,BEHPGDM
s6,Supervisão de Segurança Alimentar,BEHPHDM
s6,Supervisão de Cultura,BEHPIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHPJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHPKDM
s6,Supervisão Técnica de Fiscalização,BEHPLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHPMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHPNDM
s6,Supervisão Técnica de Limpeza Pública,BEHPODM
s6,Supervisão Técnica de Manutenção,BEHPPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHPQDM
s6,Coordenadoria de Educação,BEHPRDM
s6,Supervisão Escolar,BEHPSDM
s6,Coordenadoria de Saúde,BEHPTDM
s6,Supervisão de Vigilância em Saúde,BEHPUDM
s6,Coordenadoria de Administração e Finanças,BEHPVDM
s6,Supervisão de Administração,BEHPWDM
s6,Supervisão de Gestão de Pessoas,BEHPXDM
s6,Supervisão de Finanças,BEHPYDM
s6,Supervisão de Suprimentos,BEHPZDM
s5,M'Boi Mirim,
s6,GABINETE DO SUBPREFEITO,BEHQADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHQEDM
s6,Supervisão de Assistência Social,BEHQFDM
s6,Supervisão de Esportes e Lazer,BEHQGDM
s6,Supervisão de Segurança Alimentar,BEHQHDM
s6,Supervisão de Cultura,BEHQIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHQJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHQKDM
s6,Supervisão Técnica de Fiscalização,BEHQLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHQMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHQNDM
s6,Supervisão Técnica de Limpeza Pública,BEHQODM
s6,Supervisão Técnica de Manutenção,BEHQPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHQQDM
s6,Coordenadoria de Educação,BEHQRDM
s6,Supervisão Escolar,BEHQSDM
s6,Coordenadoria de Saúde,BEHQTDM
s6,Supervisão de Vigilância em Saúde,BEHQUDM
s6,Coordenadoria de Administração e Finanças,BEHQVDM
s6,Supervisão de Administração,BEHQWDM
s6,Supervisão de Gestão de Pessoas,BEHQXDM
s6,Supervisão de Finanças,BEHQYDM
s6,Supervisão de Suprimentos,BEHQZDM
s5,Moóca,
s6,GABINETE DO SUBPREFEITO,BEHRADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHREDM
s6,Supervisão de Assistência Social,BEHRFDM
s6,Supervisão de Esportes e Lazer,BEHRGDM
s6,Supervisão de Segurança Alimentar,BEHRHDM
s6,Supervisão de Cultura,BEHRIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHRJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHRKDM
s6,Supervisão Técnica de Fiscalização,BEHRLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHRMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHRNDM
s6,Supervisão Técnica de Limpeza Pública,BEHRODM
s6,Supervisão Técnica de Manutenção,BEHRPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHRQDM
s6,Coordenadoria de Educação,BEHRRDM
s6,Supervisão Escolar,BEHRSDM
s6,Coordenadoria de Saúde,BEHRTDM
s6,Supervisão de Vigilância em Saúde,BEHRUDM
s6,Coordenadoria de Administração e Finanças,BEHRVDM
s6,Supervisão de Administração,BEHRWDM
s6,Supervisão de Gestão de Pessoas,BEHRXDM
s6,Supervisão de Finanças,BEHRYDM
s6,Supervisão de Suprimentos,BEHRZDM
s5,Parelheiros,
s6,GABINETE DO SUBPREFEITO,BEHSADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHSEDM
s6,Supervisão de Assistência Social,BEHSFDM
s6,Supervisão de Esportes e Lazer,BEHSGDM
s6,Supervisão de Segurança Alimentar,BEHSHDM
s6,Supervisão de Cultura,BEHSIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHSJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHSKDM
s6,Supervisão Técnica de Fiscalização,BEHSLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHSMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHSNDM
s6,Supervisão Técnica de Limpeza Pública,BEHSODM
s6,Supervisão Técnica de Manutenção,BEHSPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHSQDM
s6,Coordenadoria de Educação,BEHSRDM
s6,Supervisão Escolar,BEHSSDM
s6,Coordenadoria de Saúde,BEHSTDM
s6,Supervisão de Vigilância em Saúde,BEHSUDM
s6,Coordenadoria de Administração e Finanças,BEHSVDM
s6,Supervisão de Administração,BEHSWDM
s6,Supervisão de Gestão de Pessoas,BEHSXDM
s6,Supervisão de Finanças,BEHSYDM
s6,Supervisão de Suprimentos,BEHSZDM
s5,Penha,
s6,GABINETE DO SUBPREFEITO,BEHTADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHTEDM
s6,Supervisão de Assistência Social,BEHTFDM
s6,Supervisão de Esportes e Lazer,BEHTGDM
s6,Supervisão de Segurança Alimentar,BEHTHDM
s6,Supervisão de Cultura,BEHTIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHTJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHTKDM
s6,Supervisão Técnica de Fiscalização,BEHTLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHTMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHTNDM
s6,Supervisão Técnica de Limpeza Pública,BEHTODM
s6,Supervisão Técnica de Manutenção,BEHTPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHTQDM
s6,Coordenadoria de Educação,BEHTRDM
s6,Supervisão Escolar,BEHTSDM
s6,Coordenadoria de Saúde,BEHTTDM
s6,Supervisão de Vigilância em Saúde,BEHTUDM
s6,Coordenadoria de Administração e Finanças,BEHTVDM
s6,Supervisão de Administração,BEHTWDM
s6,Supervisão de Gestão de Pessoas,BEHTXDM
s6,Supervisão de Finanças,BEHTYDM
s6,Supervisão de Suprimentos,BEHTZDM
s5,Perus,
s6,GABINETE DO SUBPREFEITO,BEHUADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHUEDM
s6,Supervisão de Assistência Social,BEHUFDM
s6,Supervisão de Esportes e Lazer,BEHUGDM
s6,Supervisão de Segurança Alimentar,BEHUHDM
s6,Supervisão de Cultura,BEHUIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHUJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHUKDM
s6,Supervisão Técnica de Fiscalização,BEHULDM
s6,Supervisão Técnica de Planejamento Urbano,BEHUMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHUNDM
s6,Supervisão Técnica de Limpeza Pública,BEHUODM
s6,Supervisão Técnica de Manutenção,BEHUPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHUQDM
s6,Coordenadoria de Educação,BEHURDM
s6,Supervisão Escolar,BEHUSDM
s6,Coordenadoria de Saúde,BEHUTDM
s6,Supervisão de Vigilância em Saúde,BEHUUDM
s6,Coordenadoria de Administração e Finanças,BEHUVDM
s6,Supervisão de Administração,BEHUWDM
s6,Supervisão de Gestão de Pessoas,BEHUXDM
s6,Supervisão de Finanças,BEHUYDM
s6,Supervisão de Suprimentos,BEHUZDM
s5,Pinheiros,
s6,GABINETE DO SUBPREFEITO,BEHVADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHVEDM
s6,Supervisão de Assistência Social,BEHVFDM
s6,Supervisão de Esportes e Lazer,BEHVGDM
s6,Supervisão de Segurança Alimentar,BEHVHDM
s6,Supervisão de Cultura,BEHVIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHVJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHVKDM
s6,Supervisão Técnica de Fiscalização,BEHVLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHVMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHVNDM
s6,Supervisão Técnica de Limpeza Pública,BEHVODM
s6,Supervisão Técnica de Manutenção,BEHVPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHVQDM
s6,Coordenadoria de Educação,BEHVRDM
s6,Supervisão Escolar,BEHVSDM
s6,Coordenadoria de Saúde,BEHVTDM
s6,Supervisão de Vigilância em Saúde,BEHVUDM
s6,Coordenadoria de Administração e Finanças,BEHVVDM
s6,Supervisão de Administração,BEHVWDM
s6,Supervisão de Gestão de Pessoas,BEHVXDM
s6,Supervisão de Finanças,BEHVYDM
s6,Supervisão de Suprimentos,BEHVZDM
s5,Pirituba / Jaraguá,
s6,GABINETE DO SUBPREFEITO,BEHWADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHWEDM
s6,Supervisão de Assistência Social,BEHWFDM
s6,Supervisão de Esportes e Lazer,BEHWGDM
s6,Supervisão de Segurança Alimentar,BEHWHDM
s6,Supervisão de Cultura,BEHWIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHWJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHWKDM
s6,Supervisão Técnica de Fiscalização,BEHWLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHWMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHWNDM
s6,Supervisão Técnica de Limpeza Pública,BEHWODM
s6,Supervisão Técnica de Manutenção,BEHWPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHWQDM
s6,Coordenadoria de Educação,BEHWRDM
s6,Supervisão Escolar,BEHWSDM
s6,Coordenadoria de Saúde,BEHWTDM
s6,Supervisão de Vigilância em Saúde,BEHWUDM
s6,Coordenadoria de Administração e Finanças,BEHWVDM
s6,Supervisão de Administração,BEHWWDM
s6,Supervisão de Gestão de Pessoas,BEHWXDM
s6,Supervisão de Finanças,BEHWYDM
s6,Supervisão de Suprimentos,BEHWZDM
s5,Santana - Tucuruvi,
s6,GABINETE DO SUBPREFEITO,BEHXADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHXEDM
s6,Supervisão de Assistência Social,BEHXFDM
s6,Supervisão de Esportes e Lazer,BEHXGDM
s6,Supervisão de Segurança Alimentar,BEHXHDM
s6,Supervisão de Cultura,BEHXIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHXJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHXKDM
s6,Supervisão Técnica de Fiscalização,BEHXLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHXMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHXNDM
s6,Supervisão Técnica de Limpeza Pública,BEHXODM
s6,Supervisão Técnica de Manutenção,BEHXPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHXQDM
s6,Coordenadoria de Educação,BEHXRDM
s6,Supervisão Escolar,BEHXSDM
s6,Coordenadoria de Saúde,BEHXTDM
s6,Supervisão de Vigilância em Saúde,BEHXUDM
s6,Coordenadoria de Administração e Finanças,BEHXVDM
s6,Supervisão de Administração,BEHXWDM
s6,Supervisão de Gestão de Pessoas,BEHXXDM
s6,Supervisão de Finanças,BEHXYDM
s6,Supervisão de Suprimentos,BEHXZDM
s5,Santo Amaro,
s6,GABINETE DO SUBPREFEITO,BEHYADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHYEDM
s6,Supervisão de Assistência Social,BEHYFDM
s6,Supervisão de Esportes e Lazer,BEHYGDM
s6,Supervisão de Segurança Alimentar,BEHYHDM
s6,Supervisão de Cultura,BEHYIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHYJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHYKDM
s6,Supervisão Técnica de Fiscalização,BEHYLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHYMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHYNDM
s6,Supervisão Técnica de Limpeza Pública,BEHYODM
s6,Supervisão Técnica de Manutenção,BEHYPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHYQDM
s6,Coordenadoria de Educação,BEHYRDM
s6,Supervisão Escolar,BEHYSDM
s6,Coordenadoria de Saúde,BEHYTDM
s6,Supervisão de Vigilância em Saúde,BEHYUDM
s6,Coordenadoria de Administração e Finanças,BEHYVDM
s6,Supervisão de Administração,BEHYWDM
s6,Supervisão de Gestão de Pessoas,BEHYXDM
s6,Supervisão de Finanças,BEHYYDM
s6,Supervisão de Suprimentos,BEHYZDM
s5,São Mateus,
s6,GABINETE DO SUBPREFEITO,BEHZADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEHZEDM
s6,Supervisão de Assistência Social,BEHZFDM
s6,Supervisão de Esportes e Lazer,BEHZGDM
s6,Supervisão de Segurança Alimentar,BEHZHDM
s6,Supervisão de Cultura,BEHZIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEHZJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEHZKDM
s6,Supervisão Técnica de Fiscalização,BEHZLDM
s6,Supervisão Técnica de Planejamento Urbano,BEHZMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEHZNDM
s6,Supervisão Técnica de Limpeza Pública,BEHZODM
s6,Supervisão Técnica de Manutenção,BEHZPDM
s6,Coordenadoria de Projetos e Obras Novas,BEHZQDM
s6,Coordenadoria de Educação,BEHZRDM
s6,Supervisão Escolar,BEHZSDM
s6,Coordenadoria de Saúde,BEHZTDM
s6,Supervisão de Vigilância em Saúde,BEHZUDM
s6,Coordenadoria de Administração e Finanças,BEHZVDM
s6,Supervisão de Administração,BEHZWDM
s6,Supervisão de Gestão de Pessoas,BEHZXDM
s6,Supervisão de Finanças,BEHZYDM
s6,Supervisão de Suprimentos,BEHZZDM
s5,São Miguel Paulista,
s6,GABINETE DO SUBPREFEITO,BEJBADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEJBEDM
s6,Supervisão de Assistência Social,BEJBFDM
s6,Supervisão de Esportes e Lazer,BEJBGDM
s6,Supervisão de Segurança Alimentar,BEJBHDM
s6,Supervisão de Cultura,BEJBIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEJBJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEJBKDM
s6,Supervisão Técnica de Fiscalização,BEJBLDM
s6,Supervisão Técnica de Planejamento Urbano,BEJBMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEJBNDM
s6,Supervisão Técnica de Limpeza Pública,BEJBODM
s6,Supervisão Técnica de Manutenção,BEJBPDM
s6,Coordenadoria de Projetos e Obras Novas,BEJBQDM
s6,Coordenadoria de Educação,BEJBRDM
s6,Supervisão Escolar,BEJBSDM
s6,Coordenadoria de Saúde,BEJBTDM
s6,Supervisão de Vigilância em Saúde,BEJBUDM
s6,Coordenadoria de Administração e Finanças,BEJBVDM
s6,Supervisão de Administração,BEJBWDM
s6,Supervisão de Gestão de Pessoas,BEJBXDM
s6,Supervisão de Finanças,BEJBYDM
s6,Supervisão de Suprimentos,BEJBZDM
s5,Sé,
s6,GABINETE DO SUBPREFEITO,BEJCADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEJCEDM
s6,Supervisão de Assistência Social,BEJCFDM
s6,Supervisão de Esportes e Lazer,BEJCGDM
s6,Supervisão de Segurança Alimentar,BEJCHDM
s6,Supervisão de Cultura,BEJCIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEJCJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEJCKDM
s6,Supervisão Técnica de Fiscalização,BEJCLDM
s6,Supervisão Técnica de Planejamento Urbano,BEJCMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEJCNDM
s6,Supervisão Técnica de Limpeza Pública,BEJCODM
s6,Supervisão Técnica de Manutenção,BEJCPDM
s6,Coordenadoria de Projetos e Obras Novas,BEJCQDM
s6,Coordenadoria de Educação,BEJCRDM
s6,Supervisão Escolar,BEJCSDM
s6,Coordenadoria de Saúde,BEJCTDM
s6,Supervisão de Vigilância em Saúde,BEJCUDM
s6,Coordenadoria de Administração e Finanças,BEJCVDM
s6,Supervisão de Administração,BEJCWDM
s6,Supervisão de Gestão de Pessoas,BEJCXDM
s6,Supervisão de Finanças,BEJCYDM
s6,Supervisão de Suprimentos,BEJCZDM
s5,Capela do Socorro,
s6,GABINETE DO SUBPREFEITO,BEJDADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEJDEDM
s6,Supervisão de Assistência Social,BEJDFDM
s6,Supervisão de Esportes e Lazer,BEJDGDM
s6,Supervisão de Segurança Alimentar,BEJDHDM
s6,Supervisão de Cultura,BEJDIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEJDJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEJDKDM
s6,Supervisão Técnica de Fiscalização,BEJDLDM
s6,Supervisão Técnica de Planejamento Urbano,BEJDMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEJDNDM
s6,Supervisão Técnica de Limpeza Pública,BEJDODM
s6,Supervisão Técnica de Manutenção,BEJDPDM
s6,Coordenadoria de Projetos e Obras Novas,BEJDQDM
s6,Coordenadoria de Educação,BEJDRDM
s6,Supervisão Escolar,BEJDSDM
s6,Coordenadoria de Saúde,BEJDTDM
s6,Supervisão de Vigilância em Saúde,BEJDUDM
s6,Coordenadoria de Administração e Finanças,BEJDVDM
s6,Supervisão de Administração,BEJDWDM
s6,Supervisão de Gestão de Pessoas,BEJDXDM
s6,Supervisão de Finanças,BEJDYDM
s6,Supervisão de Suprimentos,BEJDZDM
s5,Vila Maria - Vila Guilherme,
s6,GABINETE DO SUBPREFEITO,BEJEADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEJEEDM
s6,Supervisão de Assistência Social,BEJEFDM
s6,Supervisão de Esportes e Lazer,BEJEGDM
s6,Supervisão de Segurança Alimentar,BEJEHDM
s6,Supervisão de Cultura,BEJEIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEJEJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEJEKDM
s6,Supervisão Técnica de Fiscalização,BEJELDM
s6,Supervisão Técnica de Planejamento Urbano,BEJEMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEJENDM
s6,Supervisão Técnica de Limpeza Pública,BEJEODM
s6,Supervisão Técnica de Manutenção,BEJEPDM
s6,Coordenadoria de Projetos e Obras Novas,BEJEQDM
s6,Coordenadoria de Educação,BEJERDM
s6,Supervisão Escolar,BEJESDM
s6,Coordenadoria de Saúde,BEJETDM
s6,Supervisão de Vigilância em Saúde,BEJEUDM
s6,Coordenadoria de Administração e Finanças,BEJEVDM
s6,Supervisão de Administração,BEJEWDM
s6,Supervisão de Gestão de Pessoas,BEJEXDM
s6,Supervisão de Finanças,BEJEYDM
s6,Supervisão de Suprimentos,BEJEZDM
s5,Vila Mariana+A855,
s6,GABINETE DO SUBPREFEITO,BEJFADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEJFEDM
s6,Supervisão de Assistência Social,BEJFFDM
s6,Supervisão de Esportes e Lazer,BEJFGDM
s6,Supervisão de Segurança Alimentar,BEJFHDM
s6,Supervisão de Cultura,BEJFIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEJFJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEJFKDM
s6,Supervisão Técnica de Fiscalização,BEJFLDM
s6,Supervisão Técnica de Planejamento Urbano,BEJFMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEJFNDM
s6,Supervisão Técnica de Limpeza Pública,BEJFODM
s6,Supervisão Técnica de Manutenção,BEJFPDM
s6,Coordenadoria de Projetos e Obras Novas,BEJFQDM
s6,Coordenadoria de Educação,BEJFRDM
s6,Supervisão Escolar,BEJFSDM
s6,Coordenadoria de Saúde,BEJFTDM
s6,Supervisão de Vigilância em Saúde,BEJFUDM
s6,Coordenadoria de Administração e Finanças,BEJFVDM
s6,Supervisão de Administração,BEJFWDM
s6,Supervisão de Gestão de Pessoas,BEJFXDM
s6,Supervisão de Finanças,BEJFYDM
s6,Supervisão de Suprimentos,BEJFZDM
s5,Vila Prudente - Sapopemba,
s6,GABINETE DO SUBPREFEITO,BEJGADM
s6,Coordenadoria de Ação Social e Desenvolvimento,BEJGEDM
s6,Supervisão de Assistência Social,BEJGFDM
s6,Supervisão de Esportes e Lazer,BEJGGDM
s6,Supervisão de Segurança Alimentar,BEJGHDM
s6,Supervisão de Cultura,BEJGIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,BEJGJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,BEJGKDM
s6,Supervisão Técnica de Fiscalização,BEJGLDM
s6,Supervisão Técnica de Planejamento Urbano,BEJGMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,BEJGNDM
s6,Supervisão Técnica de Limpeza Pública,BEJGODM
s6,Supervisão Técnica de Manutenção,BEJGPDM
s6,Coordenadoria de Projetos e Obras Novas,BEJGQDM
s6,Coordenadoria de Educação,BEJGRDM
s6,Supervisão Escolar,BEJGSDM
s6,Coordenadoria de Saúde,BEJGTDM
s6,Supervisão de Vigilância em Saúde,BEJGUDM
s6,Coordenadoria de Administração e Finanças,BEJGVDM
s6,Supervisão de Administração,BEJGWDM
s6,Supervisão de Gestão de Pessoas,BEJGXDM
s6,Supervisão de Finanças,BEJGYDM
s6,Supervisão de Suprimentos,BEJGZDM
s5,CULTURA,BFAAADX
s6,GABINETE DO SECRETÁRIO,BFAAADM
s6,ÁREA DE MATERIAIS E COMPRAS,BFABADM
s6,DEPTO PESSOAL - RECURSOS HUMANOS,BFACADM
s6,COMISSÃO DE AVERIGUAÇÃO E AVALIAÇÃO DE PROJETOS CULTURAIS - CAAPC,BFAEADM
s10,CENTRO CULTURAL,BFCAADM
s6,CENTRO CULTURAL - EXPEDIENTE,BFCACDM
s6,CENTRO CULTURAL - CONTABILIDADE,BFCAEDM
s6,CENTRO CULTURAL - DEPTO PESSOAL,BFCAGDM
s10,COMPRESP,BFDAADM
s10,DEPTO DE EXPANSÃO CULTURAL,BFEAADM
s10,COORDENADORIA DO SISTEAM MUNICIPAL DE BIBLIOTECAS,BFFAADM
s10,DEPTO DE PATRIMÔNIO HISTÓRICO,BFGAADM
s10,DEPTO BIBLIOTECA MÁRIO DE ANDRADE,BFHAADM
s10,THEATRO MUNICIPAL,BFIAADM
s10,CENTRO CULTURAL DA JUVENTUDE - CCJ,BFKAADM
s10,DEPARTAMENTO DO ARQUIVO HISTÓRICO DE SÃO PAULO,BFLAADM
s5,EDUCAÇÃO,BGAAADX
s6,GABINETE DO SECRETÁRIO,BGAAADM
s6,DEPTO PESSOAL,BGABADM
s6,CONTABILIDADE,BGACADM
s6,COMISSÃO DE ACUMULO DE CARGOS - C.A..A.C.,BGADADM
s6,COMISSÃO ESPECIAL DE PAGAMENTO - C.E.P.,BGAEADM
s6,CENTRO DE INFORMÁTICA - C.I.,BGAFADM
s10,COORDENADORIA DOS NÚCLEOS DE AÇÃO EDUCATIVA,BGFAADM
s6,CONAE - DOT GAB  - DIRETORIA TECNICA,BGFBCDM
s6,CONAE - DOT-1,BGFBEDM
s6,CONAE - DOT-2,BGFBGDM
s6,CONAE - DOT-3,BGFBIDM
s6,CONAE - 2 - GABINETE DO SECRETÁRIO,BGFDADM
s6,CONAE - 2 - DIVISÃO ADM.001INISTRATIVA,BGFDEDM
s6,CONAE - 2 - READAPTAÇÃO FUNCIONAL,BGFDIDM
s6,CONAE - 2 - COMISSÃO DE CURSOS E TITULOS,BGFDODM
s6,CONAE - 2 - SETOR DE QUADROS,BGFDUDM
s6,CONAE - 2 - SETOR DE POSSE,BGFDVDM
s6,CONAE - 1  DIVISÃO ADMINSTRATIVA,BGFFADM
s6,CONAE - 13  DEPARTAMENTO PESSOAL,BGFFCDM
s6,CONAE - 14  COMPRAS,BGFFEDM
s6,CONAE - 15   MATERIAL E CADASTRO,BGFFGDM
s6,CONAE - 151  LICITAÇÃO,BGFFIDM
s6,CONAE - 21 EXPEDIENTE/PUBLICAÇÃO,BGFHADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DO IPIRANGA,BGJAADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE JAÇANÃ / TREMEMBÉ,BGJBADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE FREGUESIA / BRASILÂNDIA,BGJCADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE PIRITUBA,BGJDADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE CAMPO LIMPO,BGJEADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE SANTO AMARO,BGJFADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DA PENHA,BGJGADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE CAPELA DO SOCORRO,BGJHADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE ITAQUERA,BGJIADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE SÃO MIGUEL,BGJJADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE GUAIANASES,BGJLADM
