urn_p1,urn_p2,urn_p3,name,NOTA
br,mg,agua.comprida,Água Comprida,
br,mg,aguanil,Aguanil,
br,mg,aguas.formosas,Águas Formosas,
br,mg,aguas.vermelhas,Águas Vermelhas,
br,mg,aimores,Aimorés,
br,mg,aiuruoca,Aiuruoca,
br,mg,alagoa,Alagoa,
br,mg,albertina,Albertina,
br,mg,alem.paraiba,Além Paraíba,
br,mg,alfenas,Alfenas,
br,mg,alfredo.vasconcelos,Alfredo Vasconcelos,
br,mg,almenara,Almenara,
br,mg,alpercata,Alpercata,
br,mg,alpinopolis,Alpinópolis,
br,mg,alterosa,Alterosa,
br,mg,alto.caparao,Alto Caparaó,
br,mg,alto.jequitiba,Alto Jequitibá,
br,mg,alto.rio.doce,Alto Rio Doce,
br,mg,alvarenga,Alvarenga,
br,mg,alvinopolis,Alvinópolis,
br,mg,alvorada.minas,Alvorada de Minas,
br,mg,amparo.serra,Amparo do Serra,
br,mg,andradas,Andradas,
br,mg,andrelandia,Andrelândia,
br,mg,angelandia,Angelândia,
br,mg,antonio.carlos,Antônio Carlos,
br,mg,antonio.dias,Antônio Dias,
br,mg,antonio.prado.minas,Antônio Prado de Minas,
br,mg,aracai,Araçaí,
br,mg,aracitaba,Aracitaba,
br,mg,aracuai,Araçuaí,
br,mg,araguari,Araguari,
br,mg,arantina,Arantina,
br,mg,araponga,Araponga,
br,mg,arapora,Araporã,
br,mg,arapua,Arapuá,
br,mg,araujos,Araújos,
br,mg,araxa,Araxá,
br,mg,arceburgo,Arceburgo,
br,mg,arcos,Arcos,
br,mg,areado,Areado,
br,mg,argirita,Argirita,
br,mg,aricanduva,Aricanduva,
br,mg,arinos,Arinos,
br,mg,astolfo.dutra,Astolfo Dutra,
br,mg,ataleia,Ataléia,
br,mg,augusto.lima,Augusto de Lima,
br,mg,baependi,Baependi,
br,mg,baldim,Baldim,
br,mg,bambui,Bambuí,
br,mg,bandeira,Bandeira,
br,mg,bandeira.sul,Bandeira do Sul,
br,mg,barao.cocais,Barão de Cocais,
br,mg,barao.monte.alto,Barão do Monte Alto,
br,mg,barbacena,Barbacena,
br,mg,barra.longa,Barra Longa,
br,mg,barroso,Barroso,
br,mg,bela.vista.minas,Bela Vista de Minas,
br,mg,belmiro.braga,Belmiro Braga,
br,mg,belo.horizonte,Belo Horizonte,
br,mg,belo.oriente,Belo Oriente,
br,mg,belo.vale,Belo Vale,
br,mg,berilo,Berilo,
br,mg,berizal,Berizal,
br,mg,bertopolis,Bertópolis,
br,mg,betim,Betim,
br,mg,bias.fortes,Bias Fortes,
br,mg,bicas,Bicas,
br,mg,biquinhas,Biquinhas,
br,mg,boa.esperanca,Boa Esperança,
br,mg,bocaina.minas,Bocaina de Minas,
br,mg,bocaiuva,Bocaiúva,
br,mg,bom.despacho,Bom Despacho,
br,mg,bom.jardim.minas,Bom Jardim de Minas,
br,mg,bom.jesus.amparo,Bom Jesus do Amparo,
br,mg,bom.jesus.galho,Bom Jesus do Galho,
br,mg,bom.jesus.penha,Bom Jesus da Penha,
br,mg,bom.repouso,Bom Repouso,
br,mg,bom.sucesso,Bom Sucesso,
br,mg,bonfim,Bonfim,
br,mg,bonfinopolis.minas,Bonfinópolis de Minas,
br,mg,bonito.minas,Bonito de Minas,
br,mg,borda.mata,Borda da Mata,
br,mg,botelhos,Botelhos,
br,mg,botumirim,Botumirim,
br,mg,bras.pires,Brás Pires,
br,mg,brasilandia.minas,Brasilândia de Minas,
br,mg,brasilia.minas,Brasília de Minas,
br,mg,brasopolis,Brasópolis,
br,mg,braunas,Braúnas,
br,mg,brumadinho,Brumadinho,
br,mg,bueno.brandao,Bueno Brandão,
br,mg,buenopolis,Buenópolis,
br,mg,bugre,Bugre,
br,mg,buritis,Buritis,
br,mg,buritizeiro,Buritizeiro,
br,mg,cabeceira.grande,Cabeceira Grande,
br,mg,cabo.verde,Cabo Verde,
br,mg,cachoeira.dourada,Cachoeira Dourada,
br,mg,cachoeira.minas,Cachoeira de Minas,
br,mg,cachoeira.pajeu,Cachoeira do Pajeú,
br,mg,cachoeira.prata,Cachoeira da Prata,
br,mg,caetanopolis,Caetanópolis,
br,mg,caete,Caeté,
br,mg,caiana,Caiana,
br,mg,cajuri,Cajuri,
br,mg,caldas,Caldas,
br,mg,camacho,Camacho,
br,mg,camanducaia,Camanducaia,
br,mg,cambui,Cambuí,
br,mg,cambuquira,Cambuquira,
br,mg,campanario,Campanário,
br,mg,campanha,Campanha,
br,mg,campestre,Campestre,
br,mg,campina.verde,Campina Verde,
br,mg,campo.azul,Campo Azul,
br,mg,campo.belo,Campo Belo,
br,mg,campo.florido,Campo Florido,
br,mg,campo.meio,Campo do Meio,
br,mg,campos.altos,Campos Altos,
br,mg,campos.gerais,Campos Gerais,
br,mg,cana.verde,Cana Verde,
br,mg,canaa,Canaã,
br,mg,canapolis,Canápolis,
br,mg,candeias,Candeias,
br,mg,cantagalo,Cantagalo,
br,mg,caparao,Caparaó,
br,mg,capela.nova,Capela Nova,
br,mg,capelinha,Capelinha,
br,mg,capetinga,Capetinga,
br,mg,capim.branco,Capim Branco,
br,mg,capinopolis,Capinópolis,
br,mg,capitao.andrade,Capitão Andrade,
br,mg,capitao.eneas,Capitão Enéas,
br,mg,capitolio,Capitólio,
br,mg,caputira,Caputira,
br,mg,carai,Caraí,
br,mg,caranaiba,Caranaíba,
br,mg,carandai,Carandaí,
br,mg,carangola,Carangola,
br,mg,caratinga,Caratinga,
br,mg,carbonita,Carbonita,
br,mg,careacu,Careaçu,
br,mg,carlos.chagas,Carlos Chagas,
br,mg,carmesia,Carmésia,
br,mg,carmo.cachoeira,Carmo da Cachoeira,
br,mg,carmo.cajuru,Carmo do Cajuru,
br,mg,carmo.mata,Carmo da Mata,
br,mg,carmo.minas,Carmo de Minas,
br,mg,carmo.paranaiba,Carmo do Paranaíba,
br,mg,carmo.rio.claro,Carmo do Rio Claro,
br,mg,carmopolis.minas,Carmópolis de Minas,
br,mg,carneirinho,Carneirinho,
br,mg,carrancas,Carrancas,
br,mg,carvalhopolis,Carvalhópolis,
br,mg,carvalhos,Carvalhos,
br,mg,casa.grande,Casa Grande,
br,mg,cascalho.rico,Cascalho Rico,
br,mg,cassia,Cássia,
br,mg,cataguases,Cataguases,
br,mg,catas.altas,Catas Altas,
br,mg,catas.altas.noruega,Catas Altas da Noruega,
br,mg,catuji,Catuji,
br,mg,catuti,Catuti,
br,mg,caxambu,Caxambu,
br,mg,cedro.abaete,Cedro do Abaeté,
br,mg,central.minas,Central de Minas,
br,mg,centralina,Centralina,
br,mg,chacara,Chácara,
br,mg,chale,Chalé,
br,mg,chapada.gaucha,Chapada Gaúcha,
br,mg,chapada.norte,Chapada do Norte,
br,mg,chiador,Chiador,
br,mg,cipotanea,Cipotânea,
br,mg,claraval,Claraval,
br,mg,claro.pocoes,Claro dos Poções,
br,mg,claudio,Cláudio,
br,mg,coimbra,Coimbra,
br,mg,coluna,Coluna,
br,mg,comendador.gomes,Comendador Gomes,
br,mg,comercinho,Comercinho,
br,mg,conceicao.alagoas,Conceição das Alagoas,
br,mg,conceicao.aparecida,Conceição da Aparecida,
br,mg,conceicao.barra.minas,Conceição da Barra de Minas,
br,mg,conceicao.ipanema,Conceição de Ipanema,
br,mg,conceicao.mato.dentro,Conceição do Mato Dentro,
br,mg,conceicao.ouros,Conceição dos Ouros,
br,mg,conceicao.para,Conceição do Pará,
br,mg,conceicao.pedras,Conceição das Pedras,
br,mg,conceicao.rio.verde,Conceição do Rio Verde,
br,mg,conego.marinho,Cônego Marinho,
br,mg,confins,Confins,
br,mg,congonhal,Congonhal,
br,mg,congonhas,Congonhas,
br,mg,congonhas.norte,Congonhas do Norte,
br,mg,conquista,Conquista,
br,mg,conselheiro.lafaiete,Conselheiro Lafaiete,
br,mg,conselheiro.pena,Conselheiro Pena,
br,mg,consolacao,Consolação,
br,mg,contagem,Contagem,
br,mg,coqueiral,Coqueiral,
br,mg,coracao.jesus,Coração de Jesus,
br,mg,cordisburgo,Cordisburgo,
br,mg,cordislandia,Cordislândia,
br,mg,corinto,Corinto,
br,mg,coroaci,Coroaci,
br,mg,coromandel,Coromandel,
br,mg,coronel.fabriciano,Coronel Fabriciano,
br,mg,coronel.murta,Coronel Murta,
br,mg,coronel.pacheco,Coronel Pacheco,
br,mg,coronel.xavier.chaves,Coronel Xavier Chaves,
br,mg,corrego.bom.jesus,Córrego do Bom Jesus,
br,mg,corrego.danta,Córrego Danta,
br,mg,corrego.fundo,Córrego Fundo,
br,mg,corrego.novo,Córrego Novo,
br,mg,couto.magalhaes.minas,Couto de Magalhães de Minas,
br,mg,crisolita,Crisólita,
br,mg,cristais,Cristais,
br,mg,cristalia,Cristália,
br,mg,cristiano.otoni,Cristiano Otoni,
br,mg,cristina,Cristina,
br,mg,crucilandia,Crucilândia,
br,mg,cruzeiro.fortaleza,Cruzeiro da Fortaleza,
br,mg,cruzilia,Cruzília,
br,mg,cuparaque,Cuparaque,
br,mg,curral.dentro,Curral de Dentro,
br,mg,curvelo,Curvelo,
br,mg,datas,Datas,
br,mg,delfim.moreira,Delfim Moreira,
br,mg,delfinopolis,Delfinópolis,
br,mg,delta,Delta,
br,mg,descoberto,Descoberto,
br,mg,desterro.entre.rios,Desterro de Entre Rios,
br,mg,desterro.melo,Desterro do Melo,
br,mg,diamantina,Diamantina,
br,mg,diogo.vasconcelos,Diogo de Vasconcelos,
br,mg,dionisio,Dionísio,
br,mg,divinesia,Divinésia,
br,mg,divino,Divino,
br,mg,divino.laranjeiras,Divino das Laranjeiras,
br,mg,divinolandia.minas,Divinolândia de Minas,
br,mg,divinopolis,Divinópolis,
br,mg,divisa.alegre,Divisa Alegre,
br,mg,divisa.nova,Divisa Nova,
br,mg,divisopolis,Divisópolis,
br,mg,dom.bosco,Dom Bosco,
br,mg,dom.cavati,Dom Cavati,
br,mg,dom.joaquim,Dom Joaquim,
br,mg,dom.silverio,Dom Silvério,
br,mg,dom.vicoso,Dom Viçoso,
br,mg,dona.eusebia,Dona Eusébia,
br,mg,dores.campos,Dores de Campos,
br,mg,dores.guanhaes,Dores de Guanhães,
br,mg,dores.indaia,Dores do Indaiá,
br,mg,dores.turvo,Dores do Turvo,
br,mg,doresopolis,Doresópolis,
br,mg,douradoquara,Douradoquara,
br,mg,durande,Durandé,
br,mg,eloi.mendes,Elói Mendes,
br,mg,engenheiro.caldas,Engenheiro Caldas,
br,mg,engenheiro.navarro,Engenheiro Navarro,
br,mg,entre.folhas,Entre Folhas,
br,mg,entre.rios.minas,Entre Rios de Minas,
br,mg,ervalia,Ervália,
br,mg,esmeraldas,Esmeraldas,
br,mg,espera.feliz,Espera Feliz,
br,mg,espinosa,Espinosa,
br,mg,espirito.santo.dourado,Espírito Santo do Dourado,
br,mg,estiva,Estiva,
br,mg,estrela.dalva,Estrela Dalva,
br,mg,estrela.indaia,Estrela do Indaiá,
br,mg,estrela.sul,Estrela do Sul,
br,mg,eugenopolis,Eugenópolis,
br,mg,ewbank.camara,Ewbank da Câmara,
br,mg,extrema,Extrema,
br,mg,fama,Fama,
br,mg,faria.lemos,Faria Lemos,
br,mg,felicio.santos,Felício dos Santos,
br,mg,felisburgo,Felisburgo,
br,mg,felixlandia,Felixlândia,
br,mg,fernandes.tourinho,Fernandes Tourinho,
br,mg,ferros,Ferros,
br,mg,fervedouro,Fervedouro,
br,mg,florestal,Florestal,
br,mg,formiga,Formiga,
br,mg,formoso,Formoso,
br,mg,fortaleza.minas,Fortaleza de Minas,
br,mg,fortuna.minas,Fortuna de Minas,
br,mg,francisco.badaro,Francisco Badaró,
br,mg,francisco.dumont,Francisco Dumont,
br,mg,francisco.sa,Francisco Sá,
br,mg,franciscopolis,Franciscópolis,
br,mg,frei.gaspar,Frei Gaspar,
br,mg,frei.inocencio,Frei Inocêncio,
br,mg,frei.lagonegro,Frei Lagonegro,
br,mg,fronteira,Fronteira,
br,mg,fronteira.vales,Fronteira dos Vales,
br,mg,fruta.leite,Fruta de Leite,
br,mg,frutal,Frutal,
br,mg,funilandia,Funilândia,
br,mg,galileia,Galiléia,
br,mg,gameleiras,Gameleiras,
br,mg,glaucilandia,Glaucilândia,
br,mg,goiabeira,Goiabeira,
br,mg,goiana,Goianá,
br,mg,goncalves,Gonçalves,
br,mg,gonzaga,Gonzaga,
br,mg,gouveia,Gouveia,
br,mg,governador.valadares,Governador Valadares,
br,mg,grao.mogol,Grão Mogol,
br,mg,grupiara,Grupiara,
br,mg,guanhaes,Guanhães,
br,mg,guape,Guapé,
br,mg,guaraciaba,Guaraciaba,
br,mg,guaraciama,Guaraciama,
br,mg,guaranesia,Guaranésia,
br,mg,guarani,Guarani,
br,mg,guarara,Guarará,
br,mg,guarda.mor,Guarda-Mor,
br,mg,guaxupe,Guaxupé,
br,mg,guidoval,Guidoval,
br,mg,guimarania,Guimarânia,
br,mg,guiricema,Guiricema,
br,mg,gurinhata,Gurinhatã,
br,mg,heliodora,Heliodora,
br,mg,iapu,Iapu,
br,mg,ibertioga,Ibertioga,
br,mg,ibia,Ibiá,
br,mg,ibiai,Ibiaí,
br,mg,ibiracatu,Ibiracatu,
br,mg,ibiraci,Ibiraci,
br,mg,ibirite,Ibirité,
br,mg,ibitiura.minas,Ibitiúra de Minas,
br,mg,ibituruna,Ibituruna,
br,mg,icarai.minas,Icaraí de Minas,
br,mg,igarape,Igarapé,
br,mg,igaratinga,Igaratinga,
br,mg,iguatama,Iguatama,
br,mg,ijaci,Ijaci,
br,mg,ilicinea,Ilicínea,
br,mg,imbe.minas,Imbé de Minas,
br,mg,inconfidentes,Inconfidentes,
br,mg,indaiabira,Indaiabira,
br,mg,indianopolis,Indianópolis,
br,mg,ingai,Ingaí,
br,mg,inhapim,Inhapim,
br,mg,inhauma,Inhaúma,
br,mg,inimutaba,Inimutaba,
br,mg,ipaba,Ipaba,
br,mg,ipanema,Ipanema,
br,mg,ipatinga,Ipatinga,
br,mg,ipiacu,Ipiaçu,
br,mg,ipuiuna,Ipuiuna,
br,mg,irai.minas,Iraí de Minas,
br,mg,itabira,Itabira,
br,mg,itabirinha,Itabirinha,
br,mg,itabirito,Itabirito,
br,mg,itacambira,Itacambira,
br,mg,itacarambi,Itacarambi,
br,mg,itaguara,Itaguara,
br,mg,itaipe,Itaipé,
br,mg,itajuba,Itajubá,
br,mg,itamarandiba,Itamarandiba,
br,mg,itamarati.minas,Itamarati de Minas,
br,mg,itambacuri,Itambacuri,
br,mg,itambe.mato.dentro,Itambé do Mato Dentro,
br,mg,itamogi,Itamogi,
br,mg,itamonte,Itamonte,
br,mg,itanhandu,Itanhandu,
br,mg,itanhomi,Itanhomi,
br,mg,itaobim,Itaobim,
br,mg,itapagipe,Itapagipe,
br,mg,itapecerica,Itapecerica,
br,mg,itapeva,Itapeva,
br,mg,itatiaiucu,Itatiaiuçu,
br,mg,itau.minas,Itaú de Minas,
br,mg,itauna,Itaúna,
br,mg,itaverava,Itaverava,
br,mg,itinga,Itinga,
br,mg,itueta,Itueta,
br,mg,ituiutaba,Ituiutaba,
br,mg,itumirim,Itumirim,
br,mg,iturama,Iturama,
br,mg,itutinga,Itutinga,
br,mg,jaboticatubas,Jaboticatubas,
br,mg,jacinto,Jacinto,
br,mg,jacui,Jacuí,
br,mg,jacutinga,Jacutinga,
br,mg,jaguaracu,Jaguaraçu,
br,mg,jaiba,Jaíba,
br,mg,jampruca,Jampruca,
br,mg,janauba,Janaúba,
br,mg,januaria,Januária,
br,mg,japaraiba,Japaraíba,
br,mg,japonvar,Japonvar,
br,mg,jeceaba,Jeceaba,
br,mg,jenipapo.minas,Jenipapo de Minas,
br,mg,jequeri,Jequeri,
br,mg,jequitai,Jequitaí,
br,mg,jequitiba,Jequitibá,
br,mg,jequitinhonha,Jequitinhonha,
br,mg,jesuania,Jesuânia,
br,mg,joaima,Joaíma,
br,mg,joanesia,Joanésia,
br,mg,joao.monlevade,João Monlevade,
br,mg,joao.pinheiro,João Pinheiro,
br,mg,joaquim.felicio,Joaquim Felício,
br,mg,jordania,Jordânia,
br,mg,jose.goncalves.minas,José Gonçalves de Minas,
br,mg,jose.raydan,José Raydan,
br,mg,josenopolis,Josenópolis,
br,mg,juatuba,Juatuba,
br,mg,juiz.fora,Juiz de Fora,
br,mg,juramento,Juramento,
br,mg,juruaia,Juruaia,
br,mg,juvenilia,Juvenília,
br,mg,ladainha,Ladainha,
br,mg,lagamar,Lagamar,
br,mg,lagoa.dourada,Lagoa Dourada,
br,mg,lagoa.formosa,Lagoa Formosa,
br,mg,lagoa.grande,Lagoa Grande,
br,mg,lagoa.patos,Lagoa dos Patos,
br,mg,lagoa.prata,Lagoa da Prata,
br,mg,lagoa.santa,Lagoa Santa,
br,mg,lajinha,Lajinha,
br,mg,lambari,Lambari,
br,mg,lamim,Lamim,
br,mg,laranjal,Laranjal,
br,mg,lassance,Lassance,
br,mg,lavras,Lavras,
br,mg,leandro.ferreira,Leandro Ferreira,
br,mg,leme.prado,Leme do Prado,
br,mg,leopoldina,Leopoldina,
br,mg,liberdade,Liberdade,
br,mg,lima.duarte,Lima Duarte,
br,mg,limeira.oeste,Limeira do Oeste,
br,mg,lontra,Lontra,
br,mg,luisburgo,Luisburgo,
br,mg,luislandia,Luislândia,
br,mg,luminarias,Luminárias,
br,mg,luz,Luz,
br,mg,machacalis,Machacalis,
br,mg,machado,Machado,
br,mg,madre.deus.minas,Madre de Deus de Minas,
br,mg,malacacheta,Malacacheta,
br,mg,mamonas,Mamonas,
br,mg,manga,Manga,
br,mg,manhuacu,Manhuaçu,
br,mg,manhumirim,Manhumirim,
br,mg,mantena,Mantena,
br,mg,mar.espanha,Mar de Espanha,
br,mg,maravilhas,Maravilhas,
br,mg,maria.fe,Maria da Fé,
br,mg,mariana,Mariana,
br,mg,marilac,Marilac,
br,mg,mario.campos,Mário Campos,
br,mg,maripa.minas,Maripá de Minas,
br,mg,marlieria,Marliéria,
br,mg,marmelopolis,Marmelópolis,
br,mg,martinho.campos,Martinho Campos,
br,mg,martins.soares,Martins Soares,
br,mg,mata.verde,Mata Verde,
br,mg,materlandia,Materlândia,
br,mg,mateus.leme,Mateus Leme,
br,mg,mathias.lobato,Mathias Lobato,
br,mg,matias.barbosa,Matias Barbosa,
br,mg,matias.cardoso,Matias Cardoso,
br,mg,matipo,Matipó,
br,mg,mato.verde,Mato Verde,
br,mg,matozinhos,Matozinhos,
br,mg,matutina,Matutina,
br,mg,medeiros,Medeiros,
br,mg,medina,Medina,
br,mg,mendes.pimentel,Mendes Pimentel,
br,mg,merces,Mercês,
br,mg,mesquita,Mesquita,
br,mg,minas.novas,Minas Novas,
br,mg,minduri,Minduri,
br,mg,mirabela,Mirabela,
br,mg,miradouro,Miradouro,
br,mg,mirai,Miraí,
br,mg,miravania,Miravânia,
br,mg,moeda,Moeda,
br,mg,moema,Moema,
br,mg,monjolos,Monjolos,
br,mg,monsenhor.paulo,Monsenhor Paulo,
br,mg,montalvania,Montalvânia,
br,mg,monte.alegre.minas,Monte Alegre de Minas,
br,mg,monte.azul,Monte Azul,
br,mg,monte.belo,Monte Belo,
br,mg,monte.carmelo,Monte Carmelo,
br,mg,monte.formoso,Monte Formoso,
br,mg,monte.santo.minas,Monte Santo de Minas,
br,mg,monte.siao,Monte Sião,
br,mg,montes.claros,Montes Claros,
br,mg,montezuma,Montezuma,
br,mg,morada.nova.minas,Morada Nova de Minas,
br,mg,morro.garca,Morro da Garça,
br,mg,morro.pilar,Morro do Pilar,
br,mg,munhoz,Munhoz,
br,mg,muriae,Muriaé,
br,mg,mutum,Mutum,
br,mg,muzambinho,Muzambinho,
br,mg,nacip.raydan,Nacip Raydan,
br,mg,nanuque,Nanuque,
br,mg,naque,Naque,
br,mg,natalandia,Natalândia,
br,mg,natercia,Natércia,
br,mg,nazareno,Nazareno,
br,mg,nepomuceno,Nepomuceno,
br,mg,ninheira,Ninheira,
br,mg,nova.belem,Nova Belém,
br,mg,nova.era,Nova Era,
br,mg,nova.lima,Nova Lima,
br,mg,nova.modica,Nova Módica,
br,mg,nova.ponte,Nova Ponte,
br,mg,nova.porteirinha,Nova Porteirinha,
br,mg,nova.resende,Nova Resende,
br,mg,nova.serrana,Nova Serrana,
br,mg,nova.uniao,Nova União,
br,mg,novo.cruzeiro,Novo Cruzeiro,
br,mg,novo.oriente.minas,Novo Oriente de Minas,
br,mg,novorizonte,Novorizonte,
br,mg,olaria,Olaria,
br,mg,olhos.d.agua,Olhos D'água,
br,mg,olimpio.noronha,Olímpio Noronha,
br,mg,oliveira,Oliveira,
br,mg,oliveira.fortes,Oliveira Fortes,
br,mg,onca.pitangui,Onça do Pitangui,
br,mg,oratorios,Oratórios,
br,mg,orizania,Orizânia,
br,mg,ouro.branco,Ouro Branco,
br,mg,ouro.fino,Ouro Fino,
br,mg,ouro.preto,Ouro Preto,
br,mg,ouro.verde.minas,Ouro Verde de Minas,
br,mg,padre.carvalho,Padre Carvalho,
br,mg,padre.paraiso,Padre Paraíso,
br,mg,pai.pedro,Pai Pedro,
br,mg,paineiras,Paineiras,
br,mg,pains,Pains,
br,mg,paiva,Paiva,
br,mg,palma,Palma,
br,mg,palmopolis,Palmópolis,
br,mg,papagaios,Papagaios,
br,mg,para.minas,Pará de Minas,
br,mg,paracatu,Paracatu,
br,mg,paraguacu,Paraguaçu,
br,mg,paraisopolis,Paraisópolis,
br,mg,paraopeba,Paraopeba,
br,mg,passa.quatro,Passa Quatro,
br,mg,passa.tempo,Passa Tempo,
br,mg,passa.vinte,Passa Vinte,
br,mg,passabem,Passabêm,
br,mg,passos,Passos,
br,mg,patis,Patis,
br,mg,patos.minas,Patos de Minas,
br,mg,patrocinio,Patrocínio,
br,mg,patrocinio.muriae,Patrocínio do Muriaé,
br,mg,paula.candido,Paula Cândido,
br,mg,paulistas,Paulistas,
br,mg,pavao,Pavão,
br,mg,pecanha,Peçanha,
br,mg,pedra.anta,Pedra do Anta,
br,mg,pedra.azul,Pedra Azul,
br,mg,pedra.bonita,Pedra Bonita,
br,mg,pedra.dourada,Pedra Dourada,
br,mg,pedra.indaia,Pedra do Indaiá,
br,mg,pedralva,Pedralva,
br,mg,pedras.maria.cruz,Pedras de Maria da Cruz,
br,mg,pedrinopolis,Pedrinópolis,
br,mg,pedro.leopoldo,Pedro Leopoldo,
br,mg,pedro.teixeira,Pedro Teixeira,
br,mg,pequeri,Pequeri,
br,mg,pequi,Pequi,
br,mg,perdigao,Perdigão,
br,mg,perdizes,Perdizes,
br,mg,perdoes,Perdões,
br,mg,periquito,Periquito,
br,mg,pescador,Pescador,
br,mg,piau,Piau,
br,mg,piedade.caratinga,Piedade de Caratinga,
br,mg,piedade.gerais,Piedade dos Gerais,
br,mg,piedade.ponte.nova,Piedade de Ponte Nova,
br,mg,piedade.rio.grande,Piedade do Rio Grande,
br,mg,pimenta,Pimenta,
br,mg,pingo.d.agua,Pingo D'água,
br,mg,pintopolis,Pintópolis,
br,mg,piracema,Piracema,
br,mg,pirajuba,Pirajuba,
br,mg,piranga,Piranga,
br,mg,pirangucu,Piranguçu,
br,mg,piranguinho,Piranguinho,
br,mg,pirapetinga,Pirapetinga,
br,mg,pirapora,Pirapora,
br,mg,pirauba,Piraúba,
br,mg,pitangui,Pitangui,
br,mg,piumhi,Piumhi,
br,mg,planura,Planura,
br,mg,poco.fundo,Poço Fundo,
br,mg,pocos.caldas,Poços de Caldas,
br,mg,pocrane,Pocrane,
br,mg,pompeu,Pompéu,
br,mg,ponte.nova,Ponte Nova,
br,mg,ponto.chique,Ponto Chique,
br,mg,ponto.volantes,Ponto dos Volantes,
br,mg,porteirinha,Porteirinha,
br,mg,porto.firme,Porto Firme,
br,mg,pote,Poté,
br,mg,pouso.alegre,Pouso Alegre,
br,mg,pouso.alto,Pouso Alto,
br,mg,prados,Prados,
br,mg,prata,Prata,
br,mg,pratapolis,Pratápolis,
br,mg,pratinha,Pratinha,
br,mg,presidente.bernardes,Presidente Bernardes,
br,mg,presidente.juscelino,Presidente Juscelino,
br,mg,presidente.kubitschek,Presidente Kubitschek,
br,mg,presidente.olegario,Presidente Olegário,
br,mg,prudente.morais,Prudente de Morais,
br,mg,quartel.geral,Quartel Geral,
br,mg,queluzito,Queluzito,
br,mg,raposos,Raposos,
br,mg,raul.soares,Raul Soares,
br,mg,recreio,Recreio,
br,mg,reduto,Reduto,
br,mg,resende.costa,Resende Costa,
br,mg,resplendor,Resplendor,
br,mg,ressaquinha,Ressaquinha,
br,mg,riachinho,Riachinho,
br,mg,riacho.machados,Riacho dos Machados,
br,mg,ribeirao.neves,Ribeirão das Neves,
br,mg,ribeirao.vermelho,Ribeirão Vermelho,
br,mg,rio.acima,Rio Acima,
br,mg,rio.casca,Rio Casca,
br,mg,rio.doce,Rio Doce,
br,mg,rio.espera,Rio Espera,
br,mg,rio.manso,Rio Manso,
br,mg,rio.novo,Rio Novo,
br,mg,rio.paranaiba,Rio Paranaíba,
br,mg,rio.pardo.minas,Rio Pardo de Minas,
br,mg,rio.piracicaba,Rio Piracicaba,
br,mg,rio.pomba,Rio Pomba,
br,mg,rio.prado,Rio do Prado,
br,mg,rio.preto,Rio Preto,
br,mg,rio.vermelho,Rio Vermelho,
br,mg,ritapolis,Ritápolis,
br,mg,rochedo.minas,Rochedo de Minas,
br,mg,rodeiro,Rodeiro,
br,mg,romaria,Romaria,
br,mg,rosario.limeira,Rosário da Limeira,
br,mg,rubelita,Rubelita,
br,mg,rubim,Rubim,
br,mg,sabara,Sabará,
br,mg,sabinopolis,Sabinópolis,
br,mg,sacramento,Sacramento,
br,mg,salinas,Salinas,
br,mg,salto.divisa,Salto da Divisa,
br,mg,santa.barbara,Santa Bárbara,
br,mg,santa.barbara.leste,Santa Bárbara do Leste,
br,mg,santa.barbara.monte.verde,Santa Bárbara do Monte Verde,
br,mg,santa.barbara.tugurio,Santa Bárbara do Tugúrio,
br,mg,santa.cruz.escalvado,Santa Cruz do Escalvado,
br,mg,santa.cruz.minas,Santa Cruz de Minas,
br,mg,santa.cruz.salinas,Santa Cruz de Salinas,
br,mg,santa.efigenia.minas,Santa Efigênia de Minas,
br,mg,santa.fe.minas,Santa Fé de Minas,
br,mg,santa.helena.minas,Santa Helena de Minas,
br,mg,santa.juliana,Santa Juliana,
br,mg,santa.luzia,Santa Luzia,
br,mg,santa.margarida,Santa Margarida,
br,mg,santa.maria.itabira,Santa Maria de Itabira,
br,mg,santa.maria.salto,Santa Maria do Salto,
br,mg,santa.maria.suacui,Santa Maria do Suaçuí,
br,mg,santa.rita.caldas,Santa Rita de Caldas,
br,mg,santa.rita.ibitipoca,Santa Rita do Ibitipoca,
br,mg,santa.rita.itueto,Santa Rita do Itueto,
br,mg,santa.rita.jacutinga,Santa Rita de Jacutinga,
br,mg,santa.rita.minas,Santa Rita de Minas,
br,mg,santa.rita.sapucai,Santa Rita do Sapucaí,
br,mg,santa.rosa.serra,Santa Rosa da Serra,
br,mg,santa.vitoria,Santa Vitória,
br,mg,santana.cataguases,Santana de Cataguases,
br,mg,santana.deserto,Santana do Deserto,
br,mg,santana.garambeu,Santana do Garambéu,
br,mg,santana.jacare,Santana do Jacaré,
br,mg,santana.manhuacu,Santana do Manhuaçu,
br,mg,santana.montes,Santana dos Montes,
br,mg,santana.paraiso,Santana do Paraíso,
br,mg,santana.pirapama,Santana de Pirapama,
br,mg,santana.riacho,Santana do Riacho,
br,mg,santana.vargem,Santana da Vargem,
br,mg,santo.antonio.amparo,Santo Antônio do Amparo,
br,mg,santo.antonio.aventureiro,Santo Antônio do Aventureiro,
br,mg,santo.antonio.grama,Santo Antônio do Grama,
br,mg,santo.antonio.itambe,Santo Antônio do Itambé,
br,mg,santo.antonio.jacinto,Santo Antônio do Jacinto,
